Wien-Alter-Ausländische Herkunft | Vienna-Age-Foreign Background;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;AGE;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_ROU;POP_HUN;POP_SYR;POP_RUS;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;.;.;2;59;11190;904;246;181;254;234;53;152;5;29;1112;8020;20080101
AT1;AT13;AT130;.;.;2;60;11776;717;191;246;213;210;44;152;3;51;1082;8867;20080101
AT1;AT13;AT130;.;.;2;61;8835;518;178;295;186;167;45;136;10;54;921;6325;20080101
AT1;AT13;AT130;.;.;2;62;8768;438;184;416;160;128;43;107;2;42;1058;6190;20080101
AT1;AT13;AT130;.;.;2;63;11107;456;136;383;225;121;42;134;2;33;1176;8399;20080101
AT1;AT13;AT130;.;.;2;64;10971;438;113;381;190;117;57;109;3;19;1006;8538;20080101
AT1;AT13;AT130;.;.;2;65;10277;420;120;365;142;104;44;118;3;19;967;7975;20080101
AT1;AT13;AT130;.;.;2;66;11557;400;97;376;125;101;52;102;1;33;920;9350;20080101
AT1;AT13;AT130;.;.;2;67;12029;375;111;415;109;102;61;87;1;36;848;9884;20080101
AT1;AT13;AT130;.;.;2;68;11313;358;91;322;110;86;64;80;6;23;746;9427;20080101
AT1;AT13;AT130;.;.;2;69;6916;278;84;225;74;98;44;75;6;26;591;5415;20080101
AT1;AT13;AT130;.;.;2;70;5778;266;79;195;86;74;41;87;3;39;583;4325;20080101
AT1;AT13;AT130;.;.;2;71;5642;288;50;163;69;68;38;77;4;22;547;4316;20080101
AT1;AT13;AT130;.;.;2;72;5523;240;51;140;65;73;30;52;4;19;559;4290;20080101
AT1;AT13;AT130;.;.;2;73;5631;258;49;121;69;38;40;60;3;13;541;4439;20080101
AT1;AT13;AT130;.;.;2;74;5755;225;66;108;64;47;31;64;0;15;533;4602;20080101
AT1;AT13;AT130;.;.;2;75;6049;232;69;95;58;44;40;49;2;11;515;4934;20080101
AT1;AT13;AT130;.;.;2;76;6124;184;35;91;51;32;29;55;0;8;518;5121;20080101
AT1;AT13;AT130;.;.;2;77;6262;195;39;81;52;26;24;60;2;12;552;5219;20080101
AT1;AT13;AT130;.;.;2;78;6006;150;35;107;52;29;39;58;2;5;501;5028;20080101
AT1;AT13;AT130;.;.;2;79;6009;126;28;89;50;23;31;57;0;16;468;5121;20080101
AT1;AT13;AT130;.;.;2;80;5899;102;27;88;47;18;43;52;0;9;480;5033;20080101
AT1;AT13;AT130;.;.;2;81;6299;106;25;137;64;22;53;60;0;16;538;5278;20080101
AT1;AT13;AT130;.;.;2;82;6281;102;16;223;68;16;57;51;1;13;465;5269;20080101
AT1;AT13;AT130;.;.;2;83;5996;73;12;236;76;14;54;31;1;11;468;5020;20080101
AT1;AT13;AT130;.;.;2;84;5958;73;8;238;90;6;38;56;0;16;523;4910;20080101
AT1;AT13;AT130;.;.;2;85;5461;61;5;257;74;10;43;46;0;15;477;4473;20080101
AT1;AT13;AT130;.;.;2;86;4776;48;5;267;58;15;39;47;1;12;434;3850;20080101
AT1;AT13;AT130;.;.;2;87;3959;36;2;239;45;15;23;52;0;19;365;3163;20080101
AT1;AT13;AT130;.;.;2;88;2804;28;2;119;23;4;21;27;0;10;271;2299;20080101
AT1;AT13;AT130;.;.;2;89;1595;14;2;57;25;3;9;35;0;5;137;1308;20080101
AT1;AT13;AT130;.;.;2;90;1399;9;0;45;16;2;8;23;0;3;134;1159;20080101
AT1;AT13;AT130;.;.;2;91;1292;7;1;46;13;1;5;14;0;3;112;1090;20080101
AT1;AT13;AT130;.;.;2;92;1236;4;0;37;9;1;9;14;0;9;99;1054;20080101
AT1;AT13;AT130;.;.;2;93;1301;12;0;33;7;0;5;15;0;2;113;1114;20080101
AT1;AT13;AT130;.;.;2;94;1069;5;0;16;8;1;3;14;0;2;95;925;20080101
AT1;AT13;AT130;.;.;2;95;806;5;0;23;8;1;8;7;0;2;71;681;20080101
AT1;AT13;AT130;.;.;2;96;537;4;0;16;3;1;3;7;0;1;43;459;20080101
AT1;AT13;AT130;.;.;2;97;378;1;0;10;2;1;3;4;0;1;29;327;20080101
AT1;AT13;AT130;.;.;2;98;278;2;2;4;3;0;0;5;0;0;24;238;20080101
AT1;AT13;AT130;.;.;2;99;143;0;0;2;0;0;1;4;0;1;16;119;20080101
AT1;AT13;AT130;.;.;2;100;102;0;0;4;0;2;1;0;0;1;10;84;20080101
AT1;AT13;AT130;.;.;2;101;65;1;0;0;0;0;0;0;0;0;10;54;20080101
AT1;AT13;AT130;.;.;2;102;37;2;0;1;1;0;0;1;0;0;1;31;20080101
AT1;AT13;AT130;.;.;2;103;20;0;0;0;1;0;0;0;0;0;3;16;20080101
AT1;AT13;AT130;.;.;2;104;10;0;0;0;0;0;0;0;0;0;0;10;20080101
AT1;AT13;AT130;.;.;2;105;5;0;0;0;0;0;0;0;0;0;1;4;20080101
AT1;AT13;AT130;.;.;2;106;1;0;0;0;0;0;0;0;0;0;0;1;20080101
AT1;AT13;AT130;.;.;2;107;2;0;0;0;0;0;0;0;0;0;0;2;20080101
AT1;AT13;AT130;.;.;2;108;1;0;0;0;0;0;0;0;0;0;0;1;20080101
AT1;AT13;AT130;.;.;2;112;1;0;0;0;0;0;0;0;0;0;0;1;20080101
AT1;AT13;AT130;.;.;1;0;8290;394;282;164;162;66;84;22;1;39;771;6305;20080101
AT1;AT13;AT130;.;.;1;1;8656;413;239;145;169;77;69;30;5;36;831;6642;20080101
AT1;AT13;AT130;.;.;1;2;8401;329;238;133;162;68;60;22;0;72;789;6528;20080101
AT1;AT13;AT130;.;.;1;3;8549;337;221;162;139;66;63;29;2;71;755;6704;20080101
AT1;AT13;AT130;.;.;1;4;8342;291;222;138;143;83;70;22;2;69;734;6568;20080101
AT1;AT13;AT130;.;.;1;5;8262;324;240;139;129;89;43;24;5;80;700;6489;20080101
AT1;AT13;AT130;.;.;1;6;7868;314;282;95;123;110;48;20;2;67;820;5987;20080101
AT1;AT13;AT130;.;.;1;7;7997;298;300;99;127;113;48;24;2;70;835;6081;20080101
AT1;AT13;AT130;.;.;1;8;7689;298;282;94;121;95;51;15;5;77;689;5962;20080101
AT1;AT13;AT130;.;.;1;9;7835;330;322;95;102;123;51;23;5;46;804;5934;20080101
AT1;AT13;AT130;.;.;1;10;7981;359;328;105;113;119;52;26;2;57;840;5980;20080101
AT1;AT13;AT130;.;.;1;11;8301;332;346;82;90;117;48;26;1;59;840;6360;20080101
AT1;AT13;AT130;.;.;1;12;8052;333;349;73;96;107;41;21;4;59;744;6225;20080101
AT1;AT13;AT130;.;.;1;13;8499;340;362;74;103;128;47;27;3;47;784;6584;20080101
